year,state,county,fips,poptotal,pop16o,popu18,pop25o,pop324,pop60o,popnc,popnc18o,pophh,popinst,popogq,popmetro,malepop,femalepop,whitepop,blackpop,hisppop,aapipop,aianpop,multipop,otherpop,enroll,nohs,hsplus,bacc,grad,empop,unempop,cnoninst,hcnone,hcpub,hcpvt,earnmed,earnpc,incmed,incpc
2008,Alabama,Baldwin County,01003,174359,140078,40221,122937,45154,40202,3903,3042,172375,1984,0,174359,85828,88531,146673,15079,6330,2176,1674,2427,3864,36500,56203,79482,28368,10306,81862,3709,138094,25427,51511,97421,27458.52,38696.2991778336,31253.600000000002,42272.424037173456
2008,Alabama,Calhoun County,01015,113337,90855,25681,75991,31526,22455,1053,1053,110563,1602,1172,113337,54196,59141,86568,22102,2203,880,250,1020,314,23124,41004,60183,7282,4868,51015,5099,88430,16917,35263,61157,25672.600000000002,33286.325887261235,27905.000000000004,36041.55568204066
2008,Alabama,Etowah County,01055,103307,81271,24358,69893,29654,22834,637,637,101658,1255,394,103307,49719,53588,82959,16172,1487,541,491,1657,0,22630,38619,50866,7943,5879,42619,2870,79622,17216,34346,51745,32258.180000000004,39478.71636051456,33486,43355.07823520017
2008,Alabama,Jefferson County,01073,659587,519008,159960,438384,193735,123567,13622,11621,645669,7439,6479,659587,312623,346964,351439,270059,22108,7414,1013,7253,7044,151032,221850,305931,86486,45320,310886,20445,505170,81182,199838,378567,33486,44646.16414242148,33932.48,48076.670778111955
2008,Alabama,Lee County,01081,133137,108912,27107,77722,51237,18144,3041,2724,127864,595,4678,133137,66383,66754,98112,28726,2410,2506,432,951,334,41281,39985,64891,16555,11706,64388,4395,103639,12697,27139,93301,22324,33832.009414344386,26230.7,38844.78860664937
2008,Alabama,Mobile County,01097,406412,311903,106891,260286,129194,71963,6686,5686,397626,4429,4357,406412,195028,211384,245613,139758,5756,8267,2216,4117,1610,99047,155677,198971,33899,17865,180847,15400,303354,62293,120449,223670,27905.000000000004,38666.91964295768,32369.800000000003,41450.15209607774
2008,Alabama,Shelby County,01117,187828,141253,52156,118348,61194,25818,7639,5279,186685,316,827,187828,92210,95618,156750,17960,7993,1913,492,2720,2280,48258,64080,68877,38145,16726,95806,4511,140110,13483,27896,146449,42415.600000000006,57895.56287433163,44648,62656.21070880408
2012,Alabama,Baldwin County,01003,191102,153578,43139,133490,52027,47213,4649,4401,187841,2491,770,191102,92852,98250,158883,16761,8737,1594,718,4409,799,39961,60857,91696,25841,12708,82935,8688,150419,24168,60377,106557,27692.499999999996,37241.77631632239,31349.999999999996,40639.17701701093
2012,Alabama,Calhoun County,01015,117442,93612,26461,78248,35309,24387,1916,1916,114546,1115,1781,117442,56599,60843,85918,24124,4068,1065,348,1919,0,27140,43487,60192,8684,5079,46609,8063,90726,11850,45729,59863,20900,31231.50568724177,24035,33574.28063897991
2012,Alabama,Etowah County,01055,104357,83176,23474,71547,29361,24465,1636,1636,102826,1052,479,104357,50373,53984,82082,15810,3769,229,680,1787,926,22437,40597,53545,6898,3317,37863,5011,81779,14890,39056,50411,25080,33248.124951151905,26125,35501.13588153769
2012,Alabama,Jefferson County,01073,660859,524501,154733,442237,192920,128431,18954,16008,644657,7503,8699,660859,311600,349259,337015,280105,25848,10454,1377,5607,9860,147138,212428,306218,86933,55280,293741,27731,508567,83731,214659,362469,31349.999999999996,42307.25220283154,31381.35,44915.50779776705
2012,Alabama,Lee County,01081,147540,117726,32217,84303,57959,22565,4598,4415,142313,916,4311,147540,72258,75282,101969,32777,5335,4261,467,2731,4051,50077,44942,70362,19287,12949,66788,5316,112507,15000,36081,96459,20900,35874.804671206104,23721.5,37883.53338528466
2012,Alabama,Mobile County,01097,413342,322705,101551,269500,126567,80735,8713,7765,403097,7375,2870,413342,197753,215589,241627,143360,10815,8377,4516,4647,1119,94956,155136,196547,39628,22031,165457,25342,312473,69512,145801,198029,26125,35998.28922943523,28214.999999999996,38901.08183160876
2012,Alabama,Shelby County,01117,200834,156526,50046,135221,59297,34925,8659,7328,198238,1571,1025,200834,97648,103186,159154,22893,12014,4682,721,1370,7267,47942,64824,81423,36506,18081,102572,5087,153930,17259,46762,136813,36575,50148.56499765436,37620,52925.34985078127
2016,Alabama,Baldwin County,01003,208854,168480,45560,147246,54802,54942,1824,1196,205646,2595,613,208854,101035,107819,173009,19003,9211,1166,1687,4288,2799,42450,61848,99401,27255,20350,94396,2844,165303,17209,73787,117858,32000,45680.51568403652,35000,49104.75070843829
2016,Alabama,Calhoun County,01015,114956,93148,24911,78457,32179,27293,2370,2226,111502,1200,2254,114956,55475,59481,83329,24698,3952,1152,98,1727,194,25026,39673,59533,9939,5811,47394,5041,89739,13278,45128,56550,26000,34538.86580715453,30000,38549.19482476848
2016,Alabama,Etowah County,01055,102361,82271,23308,70825,28327,24159,2034,2034,101187,851,323,102361,49795,52566,79747,16296,3894,807,498,923,196,23024,35601,55155,7579,4026,42020,2579,81233,7577,44095,50689,25000,35320.33624340911,27000,37706.656884778284
2016,Alabama,Jefferson County,01073,660095,526318,152124,449475,184828,141096,16839,16006,643677,6859,9559,660095,312313,347782,331075,278836,23918,7510,1102,16622,14373,148436,206470,297780,100195,55650,307849,19934,509981,54590,234237,371268,30500,45429.016519151424,35000,49289.5216229528
2016,Alabama,Lee County,01081,158607,129202,32836,96219,56408,25538,6868,6271,153169,631,4807,158607,79813,78794,107097,36635,6008,6320,0,2547,923,47657,45370,73729,24601,14907,77753,4011,123772,10701,41058,106848,25700,34104.99517645211,27000,37276.23799160927
2016,Alabama,Mobile County,01097,415126,330847,97704,278982,119873,88468,5655,5431,404678,7016,3432,415126,196800,218326,237163,147559,11551,7408,3255,7297,4725,92294,141347,206657,45761,21361,177163,12242,320419,49518,155399,210209,28000,40180.2196130158,30000,42412.81287454691
2016,Alabama,Shelby County,01117,210713,166505,49858,144939,58921,43364,6541,6393,207777,1161,1775,210713,104258,106455,164723,24670,12090,4599,501,3499,7283,46583,64603,85535,38841,21734,103449,5363,163569,15118,49811,145784,40000,51380.03319848114,41000,54963.13597004862
2008,Alaska,Anchorage Municipality,02020,279421,216185,71308,175805,90161,31710,8499,7824,273977,2376,3068,279421,142207,137214,185882,14765,20266,20972,14015,23177,4450,68001,85462,135102,38625,20232,154751,8824,210905,42295,56963,180163,40183.200000000004,55197.64461237849,43866.66,60004.062687179874
2012,Alaska,Anchorage Municipality,02020,298751,234963,72241,190754,95867,39153,13666,10332,291099,2568,5084,298751,154129,144622,182887,19148,24599,31807,18161,22149,3765,66302,88069,140241,42493,27948,164235,11184,227311,48908,67119,182724,36575,48238.67628985766,39710,52654.62059245714
2016,Alaska,Anchorage Municipality,02020,298193,229315,74328,191986,94313,45165,7766,7107,290534,3378,4281,298193,153644,144549,174905,15286,26836,33493,23356,23562,7886,66397,93043,131318,47572,26260,157345,8390,221834,28377,84013,185803,40000,54827.05985285345,44100,59683.27747067012
2008,Arizona,Coconino County,04005,128339,98895,33086,76884,45923,15461,4517,4152,122896,1313,4130,128339,64325,64014,71540,1256,14699,1656,36541,2516,3592,35927,44110,57717,17074,9438,64537,3869,93452,31907,31888,64544,27905.000000000004,34697.35541689577,29021.2,37139.38048807154
2008,Arizona,Maricopa County,04013,3955069,2967591,1095338,2516149,1233734,629179,480214,420424,3915990,19068,20011,3955069,1993171,1961898,2318452,164794,1227150,117784,63584,57069,244206,912306,1576283,1666122,467302,245362,1888037,106061,2930037,719950,1041738,2193381,33486,47524.39924248931,35718.4,50600.92048535167
2008,Arizona,Pima County,04019,1012019,801991,239175,672110,298691,205738,80068,70362,986845,11493,13681,1012019,496129,515890,573782,31495,337962,24682,28187,14341,82119,225815,344125,470920,117474,79500,470821,37039,776817,162023,346466,503530,27905.000000000004,38890.53866802961,30360.640000000003,42608.46589433944
2008,Arizona,Yavapai County,04025,215449,176779,43398,156085,52486,61773,9406,8624,213019,1629,801,0,105214,110235,175843,1781,28450,1382,4373,3278,7345,36567,63405,114939,23232,13873,94509,8036,174349,44678,90100,80671,26119.08,34823.61202089269,27905.000000000004,39641.10146984041
2008,Arizona,Yuma County,04027,194013,142122,57115,119246,63574,44551,30289,28123,189626,2574,1813,194013,96663,97350,75124,3689,108964,2090,1225,2856,38125,44895,96085,81890,10489,5549,71758,6089,137735,35895,91793,66325,22324,31160.105257400974,24556.4,33837.84236339412
2012,Arizona,Coconino County,04005,136531,109141,30681,79424,52321,19225,3258,3105,126805,640,9086,136531,66506,70025,75486,1944,18695,2097,35094,3147,5280,40735,42928,67625,15635,10343,66118,5947,99415,27544,38205,70782,21213.5,34935.25744474021,23512.5,37931.54020570735
2012,Arizona,Maricopa County,04013,3940763,3038930,1012414,2545450,1235059,712281,366675,334305,3892333,23250,25180,3940763,1947936,1992827,2277440,195014,1181265,150865,57798,73481,222350,929418,1415701,1720533,520579,283950,1769917,167268,2991129,692213,1206363,2042187,31349.999999999996,44591.719218122416,34067,47320.36488581813
2012,Arizona,Pima County,04019,991745,794524,221647,665246,292110,226923,68313,63094,966555,12936,12254,991745,488910,502835,538323,33383,351805,25068,22991,19419,91941,220232,318529,463884,129186,80146,424341,46177,769677,153644,375801,462300,26125,37599.820442042284,28528.499999999996,40770.740023967395
2012,Arizona,Yavapai County,04025,212547,179617,37920,159559,47740,76896,9642,9407,209305,1638,1604,212547,104108,108439,172979,935,29623,2223,3084,3703,6996,34054,57155,110290,30131,14971,80949,11194,176390,36318,99881,76348,25080,32874.841546473945,28841.999999999996,37143.19275240471
2012,Arizona,Yuma County,04027,200325,152650,54150,122543,68295,41688,32693,29827,191913,5329,3083,200325,101820,98505,68856,3021,121105,3463,1609,2271,33959,50055,92670,88879,11990,6786,73047,12633,144238,55958,73028,71339,20900,28308.22995105315,22572,30241.547676724185
2016,Arizona,Coconino County,04005,140682,115381,28820,81744,54054,24898,2391,2391,126266,629,13787,140682,70674,70008,76907,2152,19318,2683,35393,3927,2793,44529,38625,71475,17604,12978,64557,6582,100965,14302,48620,77760,24000,30809.061762467918,25000,33398.77798269258
2016,Arizona,Maricopa County,04013,4243458,3322633,1037366,2812346,1274055,854850,383955,354972,4190328,26503,26627,4243458,2100146,2143312,2373312,224751,1302850,174339,64952,95474,368850,953713,1456390,1856519,607057,323492,1993237,115889,3270049,444624,1508795,2290039,32000,46523.86517331098,35000,49389.68367941131
2016,Arizona,Pima County,04019,1016373,823499,217418,676079,306302,260835,75629,68960,985994,15344,15035,1016373,499828,516545,533418,29444,374086,28654,23965,26239,96461,232783,311644,477906,131295,95528,438100,40321,793364,92521,433279,490573,26000,38964.43658862606,29000,42188.068784429684
2016,Arizona,Yavapai County,04025,225265,191767,37258,173550,46729,91811,5122,5122,219633,1567,4065,225265,110232,115033,181888,882,32460,2244,3987,3804,6065,34519,51677,132378,24074,17136,86924,4317,186150,23429,114413,87423,24000,38141.21689955417,29300,43411.66245773615
2016,Arizona,Yuma County,04027,205666,158342,52380,129738,66531,48063,30819,29378,200300,3216,2150,205666,105887,99779,65184,3328,129351,2426,1826,3551,81216,45387,87437,98336,13231,6662,80165,8675,152976,22539,90563,92564,25000,32536.749119624372,26000,35045.98427062213
2008,Arkansas,Benton County,05007,209853,158061,58814,131362,67999,35514,9769,8475,206270,1179,2404,209853,105048,104805,165169,3077,29392,3797,3149,5140,16808,48525,79118,92829,26002,11904,99647,3087,154478,33571,52649,123633,29356.06,42621.794238904746,32369.800000000003,45469.18893945639
2008,Arkansas,Pulaski County,05119,376958,290440,96467,250944,109963,68336,11870,10202,370384,3788,2786,376958,179590,197368,214998,125499,16524,8136,957,10434,8049,82452,127086,166658,50913,32301,186125,11536,284006,50821,123221,202916,33151.14,45022.96582474752,33486,48647.5403480409
2008,Arkansas,Washington County,05143,195747,147514,52884,117473,67751,25852,12077,10777,190950,1207,3590,195747,98944,96803,148185,6799,30075,5248,2645,2723,9013,49568,78848,83764,20000,13135,95543,5779,142717,42190,54208,99349,26788.800000000003,34735.19915800522,27905.000000000004,36966.31676802155
2012,Arkansas,Benton County,05007,232047,173277,63860,148700,73715,40063,20159,17263,229582,1245,1220,232047,113910,118137,175453,2710,36796,7037,2482,7569,6722,54605,85986,101785,28753,15523,107383,5759,170840,34808,62811,134428,30304.999999999996,45062.43229826914,31349.999999999996,47051.26187556592
2012,Arkansas,Pulaski County,05119,389359,306193,92517,259491,112514,72739,10743,9726,383721,2709,2929,389359,186782,202577,212794,139386,23248,8037,682,4981,1714,82023,119589,179482,59364,30924,179602,17024,300726,56095,131748,201516,30304.999999999996,41323.47217280103,31349.999999999996,44218.754760021104
2012,Arkansas,Washington County,05143,211583,162954,53198,127312,74844,29804,16086,14706,203731,1672,6180,211583,104654,106929,154523,7406,34201,9950,1784,3555,18828,59312,75516,96238,23485,16344,98842,9636,155199,37290,58935,115358,26125,36431.85853735974,27378.999999999996,39249.96556486361
2016,Arkansas,Benton County,05007,258301,195789,69213,168511,78974,47413,19190,17483,255575,1649,1077,258301,128235,130066,191140,3744,42294,10433,2562,7678,3585,59144,90293,111318,38525,18165,122558,2458,193083,22616,80461,155224,35000,53196.83162141768,36000,56066.64288464204
2016,Arkansas,Pulaski County,05119,393192,310525,92649,265326,112791,82311,10721,9741,386570,3932,2690,393192,189308,203884,207017,142774,23805,9065,934,8967,8781,83102,124934,175369,59821,33068,186049,9988,304061,26557,164293,202342,30000,45988.58672738005,33000,48869.955769507396
2016,Arkansas,Washington County,05143,228715,178005,56149,136384,82543,37959,18116,16276,220601,1888,6226,228715,114539,114176,164782,9096,37430,10088,1183,6136,26872,63538,77598,103578,27618,19921,109069,2916,169972,26641,72437,129637,28800,42342.31610051817,30000,44434.75149862837
2008,California,Alameda County,06001,1474765,1163427,351019,979778,431248,228749,200906,182348,1442926,10757,21082,1474765,729249,745516,538462,185971,313249,376849,3706,48060,129974,351020,507136,569028,240046,158555,732693,50692,1132248,164048,338807,971910,42415.600000000006,57716.41220495153,44648,61513.67952368476
2008,California,Butte County,06007,220271,183659,43786,141090,72153,43117,10921,9755,214871,2299,3101,220271,107394,112877,170380,3907,27802,8473,1745,7838,10556,55223,68753,113731,27730,10057,95035,13230,178305,32637,85498,102136,22324,32833.019645244756,25672.600000000002,35932.481673759685
2008,California,Contra Costa County,06013,1029499,811881,248862,683023,309046,175724,124076,111579,1018500,5146,5853,1029499,506584,522915,518733,95069,235390,140590,1960,31482,82221,250452,344080,406719,182693,96007,506382,37652,801235,110276,231038,688185,44648,63092.5236566767,46880.4,67856.84089113867
2008,California,El Dorado County,06017,176107,143816,37783,122042,48726,31733,8230,7240,175283,824,0,176107,88224,87883,140806,876,21732,5530,1145,5955,9971,37648,50291,90062,25735,10019,90746,6384,142992,23817,43598,108692,34602.200000000004,51906.11402212414,40183.200000000004,55787.9363565603
2008,California,Fresno County,06019,908652,672771,268578,535877,325614,124638,135484,118340,887523,15433,5696,908652,458636,450016,318744,43219,441194,77209,5060,19060,204125,246507,437628,364414,73190,33420,384991,40813,651788,178521,340884,389247,24556.4,36575.16981350717,26788.800000000003,39157.488864923725
2008,California,Humboldt County,06023,129005,107248,25579,85478,39041,24274,2407,2407,124228,1502,3275,0,63759,65246,101774,1245,9514,4140,7724,4346,2945,28148,36493,72489,13955,6068,60499,4913,102471,27132,47370,54503,22324,33805.602542783934,24556.4,37950.15473837165
2008,California,Imperial County,06025,163968,120673,48896,94641,59733,23923,30511,28406,153766,10202,0,0,84241,79727,28261,5170,124749,3168,1657,435,16728,46681,87675,63040,8791,4462,59017,10223,110613,40085,63819,60064,21989.140000000003,31651.304878295115,23440.2,34315.012318302644
2008,California,Kern County,06029,801489,591212,237097,474855,283352,100888,108328,99794,756377,33039,12073,801489,415811,385678,326179,42751,378307,31315,3441,18869,136502,201779,399549,329728,50287,21925,323526,33569,546100,169321,264815,367353,26788.800000000003,39403.52938708494,29021.2,41708.15082937424
2008,California,Kings County,06031,150031,115016,39775,92250,49843,15626,21013,18437,130511,16834,2686,0,87190,62841,55952,11629,73818,3969,1972,2471,17586,33605,71744,68344,7467,2476,60228,6754,95496,38853,44707,66471,29021.2,35851.38184366888,31253.600000000002,38382.40989399301
2008,California,Los Angeles County,06037,9860475,7618780,2551430,6262588,3162877,1472750,1936142,1784919,9668615,80974,110886,9860475,4883739,4976736,2820543,845083,4694661,1288115,21727,161228,2125060,2493588,4291884,3704397,1233361,630833,4652916,342611,7431287,2128784,2747681,4984010,31253.600000000002,48437.532355565294,33486,51657.06473325604
2008,California,Madera County,06039,149099,114285,39681,93729,48416,21915,26357,23512,135851,12851,397,149099,71038,78061,59445,7148,75457,2510,1317,3222,10567,34199,74359,62179,8466,4095,53470,6377,101037,40364,54691,54044,25672.600000000002,39631.53476282551,25672.600000000002,41737.44033100088
2008,California,Marin County,06041,248858,206830,48614,180463,61775,57337,21101,19364,240907,6551,1400,248858,123157,125701,186164,5776,35358,14112,698,5712,18914,50336,63609,80681,62365,42203,131371,6071,199061,29616,56389,162853,44648,76253.08010118724,53242.740000000005,85964.5658969592
2008,California,Merced County,06047,246146,179321,75046,145279,90188,34952,46319,41152,242758,2902,486,246146,124181,121965,84729,9067,128981,17518,1143,4623,46623,69326,127826,99489,11622,7209,99462,12180,175933,48746,91176,106224,23440.2,35086.56423534919,26788.800000000003,38182.92164460904
2008,California,Napa County,06055,133540,107886,29204,91271,37218,27801,21704,20216,128059,1658,3823,133540,68818,64722,80442,2972,37977,9495,86,2187,7902,27940,50344,52916,19115,11165,67554,5044,102405,15901,36075,81564,33486,50629.93343966478,37950.8,56740.50887201173
2008,California,Orange County,06059,3009758,2336596,768142,1944529,934484,482194,488354,441798,2964403,13088,32267,3009758,1506718,1503040,1385824,47364,1015790,491669,8469,52006,486093,753804,1159434,1129087,477130,244107,1496263,98130,2291721,501701,663702,1844355,37950.8,58211.330986348476,39067,61851.17336993716
2008,California,Placer County,06061,341758,278265,72837,236018,94496,67806,16501,15125,337694,1585,2479,341758,168564,173194,264109,4783,43424,18540,1648,7385,17469,72210,92265,167634,59192,22667,170082,8749,274201,32965,76378,232415,42415.600000000006,54471.3611673768,44648,58660.27932832003
2008,California,Riverside County,06065,2100722,1594247,575076,1312249,688451,320625,294009,271124,2073707,17415,9600,2100722,1049026,1051696,881960,125150,917380,120332,11057,38639,365305,519709,900725,924117,190628,85252,917151,98430,1567535,424244,571624,1104854,31476.840000000004,43095.30951064451,33486,45839.06311209842
2008,California,Sacramento County,06067,1394302,1076508,361228,899195,432530,221247,138687,119530,1362630,20656,11016,1394302,683858,710444,724188,142405,279533,193695,8101,41170,113892,337021,512271,621661,183107,77263,647918,64581,1045301,178162,431852,784288,33486,45549.065667489056,37281.08,48749.32334032022
2008,California,San Bernardino County,06071,2015060,1491205,591839,1194321,722580,237265,254448,232467,1970896,28263,15901,2015060,1011538,1003522,715132,166608,958399,123246,5124,42187,356530,539727,892383,897660,152508,72509,874241,97888,1447350,408583,530488,1075989,30137.4,40951.65140225207,32369.800000000003,43134.71474369539
2008,California,San Diego County,06073,3001725,2335040,752263,1901560,964824,460140,343719,312093,2883850,27761,90114,3001725,1510308,1491417,1514064,139826,935791,315230,14318,74824,199263,736298,1078297,1248561,426570,248297,1452456,101322,2217447,498462,709725,1793538,34602.200000000004,50292.64252656599,38620.520000000004,54157.76925068384
2008,California,San Francisco County,06075,808691,702743,117017,629791,151551,162137,112002,106646,793042,5386,10263,808691,412044,396647,364191,51536,110417,257587,929,20638,29806,119411,217942,253311,206472,130966,453165,30171,687444,82266,221108,505317,46880.4,72667.5263298928,50229.00000000001,77602.51729676993
2008,California,San Joaquin County,06077,672968,503642,192964,414216,226166,99749,88942,79925,651225,8315,13428,672968,336334,336634,258286,46749,250841,91661,4581,20019,68861,173776,312002,294520,47889,18557,280588,36620,482105,109983,218621,344364,31253.600000000002,42163.93837800925,33486,44789.59440498312
2008,California,San Luis Obispo County,06079,265557,219992,51517,174433,82603,51328,18318,15623,251209,9600,4748,265557,136345,129212,193902,2635,51833,10392,2275,4449,10923,65560,76317,131103,36818,21319,127577,8427,205737,43758,71173,150626,29021.2,42653.8258076222,33486,47575.236982671515
2008,California,San Mateo County,06081,712248,571850,159159,494127,189971,138104,115931,105709,698264,6622,7362,712248,353849,358399,326170,22550,166762,172281,1076,20073,43802,153065,220537,268032,139073,84606,376594,19090,558686,74148,149235,488865,44648,69451.97565744726,49112.8,75942.02840366418
2008,California,Santa Barbara County,06083,405380,322820,95305,252038,134890,70004,64178,57413,389237,5924,10219,405380,204172,201208,206982,9079,161423,16260,2712,8639,48106,105947,151257,165453,51785,36885,197926,10786,307034,66614,115210,223556,29021.2,43566.0257701504,32146.56,48938.400243972494
2008,California,Santa Clara County,06085,1764039,1383548,427332,1173230,509309,270246,325841,292201,1733604,15183,15252,1764039,904098,859941,659215,37121,469057,543235,3814,43335,179516,411318,616480,605319,309073,233167,882589,56562,1354103,193179,366298,1204562,47996.600000000006,70383.0846325415,50229.00000000001,74706.09334961735
2008,California,Santa Cruz County,06087,253126,205207,54600,169229,73250,40795,32524,29382,248825,1173,3128,253126,127025,126101,156921,2565,75458,8521,480,9083,11997,57321,82551,99976,43432,27167,130144,9683,200906,35253,60763,157110,33486,52276.35200857393,37984.286,57301.7930669076
2008,California,Shasta County,06089,180217,145785,38298,123861,49237,39767,4078,3848,178273,1166,778,180217,87287,92930,150885,2293,12400,5524,1915,7035,3704,35479,56351,102411,14826,6629,75140,9004,143925,35886,68555,75776,25672.600000000002,36567.14087748583,30137.4,40665.86468020277
2008,California,Solano County,06095,407440,321351,98583,266113,127676,65310,41289,37738,396699,10350,391,407440,204534,202906,180088,58935,90162,61337,204,14919,51521,98412,143957,196789,48807,17887,197344,12169,310610,52126,101020,254294,39067,48766.09016517873,42415.600000000006,52111.64738323012
2008,California,Sonoma County,06097,466790,377052,103358,313187,136329,86350,48986,43378,456778,4239,5773,466790,231174,235616,320113,6251,104607,20167,4257,10812,30292,106093,152124,210517,68557,35592,239086,15393,368473,59144,122212,285434,34602.200000000004,50581.13339266968,39067,55278.09338617483
2008,California,Stanislaus County,06099,510710,381471,145019,310154,175985,73516,59127,53271,502693,6065,1952,510710,252785,257925,251203,16083,202569,26421,3341,9565,39384,131915,232574,231392,31003,15741,217375,26577,373643,85971,155980,268759,30137.4,40053.51128468692,32369.800000000003,42279.556338329116
2008,California,Tulare County,06107,426218,307156,135331,245548,154626,58262,68491,62030,421718,3447,1053,426218,214154,212064,154604,6120,241090,12755,2600,7960,48803,114261,225403,167285,24511,9019,172756,16535,302656,102414,159217,164587,25672.600000000002,34919.94491412553,26788.800000000003,36760.88220617947
2008,California,Ventura County,06111,797839,616312,206963,509671,253981,129086,103426,92007,788097,3436,6306,797839,399730,398109,409528,10496,304378,51142,1869,18217,159620,199727,316356,324679,104206,52598,389039,26457,606663,129408,185454,482977,37504.32,55035.997335580585,40183.200000000004,59025.572443777506
2008,California,Yolo County,06113,197922,158849,45447,117678,73839,28100,21597,19911,189108,1622,7192,197922,96251,101671,106650,4790,54949,24744,605,5446,24835,62236,65229,82897,28220,21576,95669,7212,150082,18042,45069,134811,30695.500000000004,44348.61982335279,33486,47821.44591573829
2012,California,Alameda County,06001,1555729,1252034,342965,1060747,437521,267719,222356,206612,1520267,10421,25041,1555729,762753,792976,519489,180838,352804,424071,5190,70677,117178,355479,497940,585128,297445,175216,753460,82289,1217004,191588,423222,940919,41800,57085.088343212374,41800,60699.43049673391
2012,California,Butte County,06007,221415,181595,45842,141661,73199,51911,7238,6977,215818,1936,3661,221415,109826,111589,164871,3085,32934,9713,1224,9588,3639,56036,64463,122005,24594,10353,90952,13977,176895,38020,89212,94183,21945,33455.610902527755,25080,36820.846665225276
2012,California,Contra Costa County,06013,1079436,850091,260590,726561,316691,206419,121240,112467,1069034,5318,5084,1079436,526774,552662,504153,92740,267081,161180,3319,49630,73411,259932,359744,425943,184040,109709,495547,48310,840456,133607,280661,665168,41800,63070.94256003716,44935,67065.87239396365
2012,California,El Dorado County,06017,180685,147961,39051,126558,49765,44671,6316,5950,178778,1240,667,180685,90718,89967,143814,686,22062,8691,902,4406,7894,42116,47626,91791,26790,14478,82612,9971,146065,20182,51489,109014,33440,50408.16027384711,37620,56123.47750832533
2012,California,Fresno County,06019,947810,698979,278081,560137,341418,141671,138384,125334,928883,10751,8176,947810,474646,473164,299315,46370,485089,92910,3745,19237,226447,257055,454745,383207,77696,32162,356864,71448,680483,199050,397876,350884,22572,35741.75016694532,24662,38260.107783580606
2012,California,Humboldt County,06023,134577,111580,26576,91712,38749,27473,4393,4316,130699,679,3199,0,67109,67468,103073,2179,13765,3912,7946,3702,905,29141,38733,69594,16721,9529,60392,6399,107721,27659,46151,60767,22990,32396.8416260872,26166.8,36525.00736707293
2012,California,Imperial County,06025,177150,132906,50507,105942,63153,24561,29708,27433,164326,11936,888,177150,92246,84904,23256,4583,143852,2550,1512,1284,16223,49414,92657,69823,10196,4474,59375,13361,120118,40442,73111,63597,21736,31223.431083790318,23512.5,33708.22421501857
2012,California,Kern County,06029,855968,627157,255408,503906,309757,120558,120796,112125,825319,26427,4222,855968,440420,415548,321640,45446,430105,39408,6205,12495,113601,227211,412376,369654,49159,24779,320918,53004,596656,167902,311886,376180,24035,37784.40772662242,26125,39859.426764590266
2012,California,Kings County,06031,151802,114377,41451,94244,50124,17624,20046,18366,131503,18651,1648,151802,84540,67262,52616,9416,78573,5528,918,3777,23089,39255,68347,71838,8574,3043,54073,9227,94078,36902,48982,65918,25289,36540.53211759874,26125,38442.69957809243
2012,California,Los Angeles County,06037,9960864,7891095,2358059,6531522,3057150,1630380,1812428,1695772,9788572,67137,105155,9960864,4913304,5047560,2699135,797009,4801635,1380859,16158,233286,1962743,2422186,4002379,3881373,1394300,682812,4516858,587027,7721159,2184776,3075623,4700465,29259.999999999996,45362.929370376594,31349.999999999996,48207.57489912575
2012,California,Madera County,06039,151566,113010,43090,93283,49665,26157,26615,23726,144407,6999,160,151566,72692,78874,56234,4984,83292,3200,1657,2062,13557,36353,74910,64077,9989,2590,53004,5985,105871,36083,67045,48438,19855,31310.40966453674,20900,33439.677380191686
2012,California,Marin County,06041,256131,209622,52584,187585,59619,66891,29652,27141,248143,5073,2915,256131,123753,132378,185451,5962,40440,14939,667,7020,17156,51327,69019,80275,58960,47877,127802,10496,201656,21372,72095,162664,47025,78778.72732561042,52302.25,86819.2633512615
2012,California,Merced County,06047,262341,190560,80650,148305,100910,39256,44006,40423,256441,3136,2764,262341,133047,129294,79702,8784,147112,20068,638,5159,59059,80323,133517,107962,13814,7048,95993,19330,184764,45259,101560,115522,25080,34892.97046581812,26125,37664.37933341235
2012,California,Napa County,06055,139174,111911,31248,95611,39515,30877,21418,20475,134151,2607,2416,139174,68775,70399,76520,2822,45977,10710,609,2536,13718,31575,49446,59189,21171,9368,67474,7705,107140,19024,40299,79851,31349.999999999996,49611.73802326827,34276,53604.69281655822
2012,California,Orange County,06059,3089867,2441866,735550,2034348,943554,535120,464335,426855,3048005,14915,26947,3089867,1528871,1560996,1323643,42844,1056094,575153,5607,81723,359709,764531,1096778,1192585,527079,273425,1477216,149750,2400755,530381,808787,1750699,34798.5,54259.400879939625,37620,57726.68786805954
2012,California,Placer County,06061,361054,287345,84543,247523,102384,82982,16821,14686,357369,2082,1603,361054,177666,183388,270547,3510,47851,23875,2164,12466,10887,82795,103814,166835,62445,27960,158452,19640,283694,44740,93601,222713,39710,52660.83980667458,41800,55883.294511286316
2012,California,Riverside County,06065,2269261,1718113,620607,1408651,772280,390887,276192,257566,2234385,19666,15210,2269261,1125646,1143615,872549,134687,1056366,136063,11174,56496,388247,588667,945505,1028443,193026,102287,887520,151840,1684067,459805,731599,1077857,28005.999999999996,40025.58695807902,30304.999999999996,42819.00208678482
